OrderID,Category,Product,Price,Quantity,CustomerAge,DeliveryDays,Rating
1106,Electronics,Smartwatch,184.29,5,30.0,3.0,4.0
1107,Clothing,Hoodie,62.75,3,37.0,6.0,4.6
1108,Books,Sci-Fi Book,44.9,4,18.0,5.0,4.9
1109,Electronics,Monitor,70.17,1,22.0,6.0,3.3
1110,Electronics,Bluetooth Speaker,84.11,1,40.0,4.0,4.5
1111,Clothing,Hoodie,47.71,3,21.0,4.0,5.0
1112,Electronics,Powerbank,155.23,4,36.0,5.0,4.1
1113,Sport,Yoga Mat,39.88,3,33.0,3.0,3.3
1114,Books,Biography,17.72,1,30.0,1.0,3.3
1115,Games,Keyboard,62.45,3,26.0,5.0,4.1
1116,Sport,Yoga Mat,37.96,7,43.0,4.0,5.0
1117,Books,History Book,28.45,4,51.0,8.0,4.2
1118,Electronics,Smartwatch,42.99,4,37.0,3.0,4.4
1119,Sport,Fitness Band,48.37,2,37.0,5.0,3.4
1120,Games,Gamepad,57.18,2,27.0,5.0,5.0
1121,Books,Python Programming,43.46,1,22.0,3.0,3.3
1122,Sport,Yoga Mat,39.22,3,34.0,7.0,3.8
1123,Clothing,Jacket,51.8,5,24.0,5.0,4.7
1124,Electronics,Powerbank,154.95,2,18.0,7.0,2.6
1125,Electronics,Smartwatch,62.14,3,42.0,4.0,4.3
1126,Clothing,T-Shirt,76.4,2,43.0,6.0,3.4
1127,Books,Biography,26.77,1,25.0,4.0,4.2
1128,Sport,Bicycle Helmet,45.19,3,36.0,7.0,3.9
1129,Electronics,Headphones,148.06,3,44.0,5.0,5.0
1130,Games,Keyboard,42.78,3,36.0,3.0,3.9
1131,Clothing,T-Shirt,67.16,8,22.0,4.0,5.0
1132,Electronics,Bluetooth Speaker,134.57,1,32.0,8.0,4.7
1133,Electronics,Headphones,117.31,1,47.0,4.0,3.6
1134,Clothing,T-Shirt,46.66,2,36.0,3.0,4.5
1135,Sport,Yoga Mat,48.02,2,39.0,3.0,4.0
1136,Clothing,Sneakers,45.13,4,37.0,2.0,4.4
1137,Games,Gamepad,68.22999999999999,3,25.0,4.0,3.6
1138,Books,Biography,17.36,3,28.0,7.0,5.0
1139,Clothing,Jacket,36.019999999999996,3,37.0,6.0,4.9
1140,Sport,Water Bottle,17.54,2,42.0,2.0,4.2
1141,Sport,Yoga Mat,60.97,3,45.0,4.0,5.0
1142,Clothing,Sneakers,68.81,5,25.0,4.0,4.3
1143,Clothing,Sneakers,52.52,6,38.0,3.0,5.0
1144,Clothing,Hoodie,32.85,5,46.0,4.0,4.2
1145,Clothing,T-Shirt,73.68,1,24.0,5.0,4.5
1146,Electronics,Bluetooth Speaker,103.24,1,49.0,7.0,4.1
1147,Games,Gaming Mouse,51.8,4,50.0,2.0,4.3
1148,Games,Gamepad,57.39,3,60.0,6.0,4.3
1149,Electronics,Powerbank,141.25,4,36.0,6.0,3.7
1150,Clothing,Sneakers,52.73,1,36.0,6.0,3.9
1151,Sport,Water Bottle,47.18,1,42.0,6.0,4.0
1152,Electronics,Smartwatch,119.8,1,42.0,6.0,4.4
1153,Electronics,Monitor,149.05,3,45.0,3.0,
1154,Clothing,Hoodie,42.73,2,42.0,6.0,5.0
1155,Sport,Water Bottle,46.08,2,33.0,4.0,4.9
1156,Electronics,Powerbank,142.9,2,46.0,7.0,4.0
1157,Games,Gamepad,66.44,2,23.0,7.0,5.0
1158,Books,History Book,34.78,5,34.0,5.0,5.0
1159,Electronics,Bluetooth Speaker,109.07,4,50.0,6.0,2.6
1160,Books,Biography,33.44,2,21.0,4.0,4.9
1161,Clothing,Sneakers,52.84,3,27.0,1.0,3.6
1162,Games,Keyboard,35.629999999999995,4,41.0,1.0,4.8
1163,Games,Gamepad,50.89,2,38.0,8.0,5.0
1164,Games,Keyboard,64.12,3,25.0,5.0,3.5
1165,Electronics,Monitor,186.53,4,30.0,9.0,2.7
1166,Books,Sci-Fi Book,36.19,3,22.0,2.0,4.9
1167,Clothing,Jeans,66.27000000000001,1,44.0,5.0,
1168,Electronics,Smartwatch,110.66,2,31.0,4.0,2.9
1169,Electronics,Monitor,134.01,3,52.0,6.0,5.0
1170,Games,Console Game,67.09,2,35.0,3.0,4.7
1171,Games,Keyboard,20.1,3,32.0,1.0,4.7
1172,Electronics,Bluetooth Speaker,179.39,2,31.0,2.0,5.0
1173,Games,Console Game,27.09,3,32.0,5.0,3.7
1174,Electronics,Smartwatch,160.89,2,35.0,6.0,4.3
1175,Games,Gaming Mouse,65.3,3,59.0,5.0,3.1
1176,Electronics,Headphones,40.77,3,31.0,5.0,3.7
1177,Games,Board Game,20.66,4,31.0,4.0,4.5
1178,Clothing,Jeans,62.19,2,35.0,8.0,2.9
1179,Sport,Bicycle Helmet,,3,45.0,3.0,3.7
1180,Electronics,Headphones,93.29,5,20.0,2.0,3.5
1181,Clothing,Hoodie,34.42,2,39.0,5.0,4.3
1182,Electronics,Monitor,143.45,2,26.0,3.0,4.7
1183,Sport,Dumbbells,39.87,2,40.0,6.0,4.8
1184,Sport,Yoga Mat,51.07,2,29.0,2.0,5.0
1185,Clothing,Jeans,,2,18.0,6.0,5.0
1186,Games,Console Game,78.75,1,38.0,4.0,4.7
1187,Books,Sci-Fi Book,37.28,3,38.0,1.0,5.0
1188,Games,Board Game,65.81,3,28.0,3.0,4.3
1189,Games,Keyboard,49.72,4,28.0,4.0,4.1
1190,Electronics,Monitor,109.69,3,21.0,6.0,
1191,Electronics,Monitor,123.14,1,42.0,2.0,4.0
1192,Sport,Water Bottle,59.33,1,43.0,4.0,5.0
1193,Sport,Fitness Band,35.730000000000004,1,25.0,4.0,5.0
1194,Games,Gamepad,58.91,3,29.0,3.0,4.8
1195,Clothing,Sneakers,18.060000000000002,2,33.0,3.0,4.3
1196,Clothing,T-Shirt,53.11,1,57.0,6.0,
1197,Books,Fiction Novel,46.93,3,39.0,6.0,4.8
1198,Sport,Fitness Band,30.2,4,25.0,2.0,3.3
1199,Sport,Bicycle Helmet,,4,37.0,3.0,5.0
1200,Books,History Book,31.37,1,20.0,3.0,4.1
1201,Games,Gaming Mouse,16.41,7,41.0,1.0,4.4
1202,Electronics,Bluetooth Speaker,111.12,2,51.0,2.0,3.5
1203,Electronics,Monitor,172.9,5,51.0,3.0,4.8
1204,Sport,Bicycle Helmet,60.99,1,41.0,4.0,3.8
1205,Games,Console Game,65.77000000000001,2,28.0,5.0,4.7
1206,Electronics,Smartwatch,181.43,6,21.0,2.0,4.8
1207,Electronics,Smartwatch,82.6,3,20.0,5.0,3.7
1208,Games,Console Game,44.8,3,18.0,3.0,3.3
1209,Electronics,Bluetooth Speaker,64.53999999999999,4,41.0,5.0,5.0
1210,Electronics,Monitor,,4,33.0,4.0,4.0
1211,Games,Keyboard,66.43,1,43.0,7.0,4.4
1212,Games,Board Game,58.19,2,48.0,3.0,4.6
1213,Games,Gaming Mouse,68.02000000000001,4,35.0,6.0,3.2
1214,Electronics,Smartwatch,91.29,5,35.0,2.0,
1215,Books,History Book,23.43,1,29.0,1.0,4.3
1216,Electronics,Powerbank,132.37,2,31.0,3.0,3.7
1217,Clothing,Hoodie,37.77,3,41.0,6.0,3.3
1218,Books,Fiction Novel,39.76,5,32.0,2.0,4.7
1219,Games,Gamepad,45.59,2,31.0,3.0,5.0
1220,Books,Python Programming,26.28,4,34.0,5.0,4.3
1221,Games,Keyboard,61.28,2,43.0,8.0,3.1
1222,Games,Gaming Mouse,49.16,2,27.0,4.0,3.4
1223,Electronics,Headphones,80.54,5,33.0,5.0,3.9
1224,Clothing,Sneakers,31.81,1,36.0,2.0,5.0
1225,Clothing,T-Shirt,51.45,5,46.0,7.0,4.0
1226,Electronics,Headphones,76.09,1,32.0,4.0,3.8
1227,Sport,Yoga Mat,54.67,3,27.0,4.0,2.9
1228,Clothing,Hoodie,36.72,3,29.0,6.0,3.7
1229,Sport,Dumbbells,46.47,3,45.0,5.0,3.2
1230,Games,Gaming Mouse,45.54,3,54.0,2.0,3.4
1231,Books,Biography,23.14,1,21.0,5.0,4.3
1232,Games,Keyboard,58.69,1,23.0,4.0,
1233,Games,Keyboard,70.78,4,32.0,6.0,5.0
1234,Clothing,Hoodie,,2,35.0,6.0,5.0
1235,Electronics,Monitor,122.64,4,42.0,4.0,3.7
1236,Books,Python Programming,36.06,2,25.0,7.0,3.5
1237,Clothing,Sneakers,55.09,6,23.0,5.0,5.0
1238,Electronics,Monitor,123.61,2,35.0,3.0,5.0
1239,Games,Gaming Mouse,48.35,3,31.0,1.0,2.4
1240,Electronics,Bluetooth Speaker,127.98,2,43.0,2.0,4.3
1241,Sport,Water Bottle,38.0,2,39.0,3.0,4.0
1242,Sport,Bicycle Helmet,43.29,2,40.0,4.0,4.7
1243,Sport,Yoga Mat,27.46,2,33.0,5.0,5.0
1244,Clothing,Jeans,48.33,1,58.0,5.0,
1245,Electronics,Headphones,99.14,1,26.0,5.0,2.6
1246,Sport,Yoga Mat,49.51,2,40.0,6.0,4.7
1247,Clothing,T-Shirt,36.93,3,21.0,7.0,5.0
1248,Sport,Fitness Band,33.120000000000005,2,23.0,4.0,4.0
1249,Sport,Water Bottle,44.68,4,28.0,5.0,3.6
1250,Sport,Yoga Mat,40.15,4,50.0,2.0,3.9
1251,Clothing,Jacket,72.32,3,37.0,4.0,4.9
1252,Clothing,Sneakers,25.45,3,28.0,4.0,3.8
1253,Sport,Dumbbells,41.15,3,38.0,8.0,4.5
1254,Clothing,Sneakers,58.56,3,34.0,6.0,4.2
1255,Electronics,Powerbank,104.18,2,29.0,7.0,4.1
1256,Games,Keyboard,41.34,2,20.0,3.0,4.8
1257,Sport,Dumbbells,30.86,1,48.0,4.0,3.8
1258,Games,Gaming Mouse,30.82,2,36.0,6.0,3.9
1259,Games,Gaming Mouse,75.25,3,56.0,1.0,4.8
1260,Electronics,Smartwatch,113.13,2,43.0,4.0,3.4
1261,Games,Board Game,48.28,4,40.0,6.0,3.5
1262,Sport,Bicycle Helmet,17.7,3,30.0,5.0,3.2
1263,Electronics,Smartwatch,73.39,1,23.0,5.0,4.9
1264,Games,Gaming Mouse,76.98,3,32.0,2.0,4.1
1265,Sport,Bicycle Helmet,43.18,2,23.0,3.0,3.1
1266,Books,Biography,38.75,2,41.0,4.0,4.9
1267,Games,Gamepad,70.6,3,50.0,8.0,3.8
1268,Books,History Book,22.5,2,31.0,4.0,3.5
1269,Clothing,Jacket,74.16,4,43.0,8.0,4.0
1270,Clothing,T-Shirt,,2,27.0,10.0,5.0
1271,Books,Fiction Novel,25.77,1,31.0,7.0,3.9
1272,Books,Fiction Novel,6.76,1,26.0,3.0,4.7
1273,Sport,Fitness Band,36.260000000000005,2,18.0,5.0,4.8
1274,Sport,Bicycle Helmet,42.5,2,34.0,2.0,4.6
1275,Games,Keyboard,46.48,2,35.0,3.0,5.0
1276,Games,Gaming Mouse,51.68,5,45.0,3.0,3.6
1277,Books,Biography,23.79,4,42.0,5.0,3.4
1278,Games,Keyboard,68.82,3,42.0,7.0,3.3
1279,Books,Python Programming,30.48,4,24.0,2.0,4.1
1280,Books,Biography,37.14,1,39.0,6.0,3.4
1281,Sport,Dumbbells,52.83,3,50.0,6.0,4.3
1282,Clothing,Jacket,18.91,1,38.0,3.0,4.3
1283,Clothing,Hoodie,35.75,1,52.0,2.0,5.0
1284,Electronics,Headphones,102.53,3,54.0,5.0,4.4
1285,Games,Board Game,93.57,4,31.0,2.0,3.9
1286,Electronics,Smartwatch,130.36,2,27.0,4.0,4.5
1287,Clothing,Jeans,54.75,6,26.0,3.0,3.4
1288,Games,Console Game,,1,19.0,6.0,4.2
1289,Clothing,Hoodie,46.72,3,29.0,5.0,4.5
1290,Games,Keyboard,69.67,1,46.0,6.0,4.3
1291,Electronics,Headphones,156.03,2,18.0,4.0,4.5
1292,Electronics,Headphones,147.44,4,24.0,6.0,3.7
1293,Books,Sci-Fi Book,30.1,2,33.0,6.0,
1294,Clothing,T-Shirt,45.74,1,25.0,4.0,5.0
1295,Electronics,Bluetooth Speaker,64.03999999999999,3,29.0,8.0,2.9
1296,Games,Keyboard,41.49,2,29.0,3.0,3.2
1297,Books,Sci-Fi Book,31.73,2,31.0,8.0,4.2
1298,Electronics,Headphones,99.22,3,27.0,5.0,4.0
1299,Games,Console Game,65.33,2,26.0,10.0,5.0
1300,Electronics,Bluetooth Speaker,141.8,1,43.0,4.0,4.4
